game,url,about
מבוך,/מבוך-500-שלבים,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/maze.txt
TranClick - תרגום בקליק,https://tranclick.vercel.app,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/tranclick.txt
איקס-עיגול,https://nahman-shenfeld-469405.my.canva.site/xxx-ooo,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/x-o.txt
משחק הזיכרון,https://nahman-shenfeld-469405.my.canva.site/memory,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/memory.txt
מטוסים,/מטוסים,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/airplanes.txt
ריבועים זוהרים,/ריבועים-זוהרים,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/neon.txt
Murder black,/Murder%20black,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/murder.txt
סביבת עריכת קוד משותפת,https://gemini.google.com/share/fbc6d95d7fbc,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/code.txt
ארבע בריבוע,https://share.gemini.google/H1Q4H3HLF1Im,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/4.txt
PixelArt Space,https://gemini.google.com/share/51453db1c621,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/main/info/pixel.txt
פקמן רמאים,/pacman,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/refs/heads/main/info/pacman.txt
איש תלוי,/איש-תלוי,https://raw.githubusercontent.com/nahmanshen-cmdnahman/an-games/refs/heads/main/info/man.txt
